index,id,browser_id,visit_id,extension_session_uuid,event_ordinal,record_type,change_cause,expiry,is_http_only,is_host_only,is_session,host,is_secure,name,path,value,same_site,first_party_domain,store_id,time_stamp
2863,2864,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12624,deleted,overwrite,2022-07-12T09:46:22.000Z,0,0,0,.rubiconproject.com,1,audit,/,1|a/S0CWHDr2wETLVN7DUuPFvMaQ/hI3tb0N5ysZc90AZA0Hp/Kk22ar3WmjdoOTP1qaQ7ErU5JqgznT7+Jag0X3rpzdod1j0wLRowF5Dm81LVNHCZNlZXddzpQ7vzkXQ/,no_restriction,,firefox-default,2021-07-12T09:46:22.511Z
2864,2865,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12625,added-or-changed,explicit,2022-07-12T09:46:22.000Z,0,0,0,.rubiconproject.com,1,audit,/,1|a/S0CWHDr2wETLVN7DUuPFvMaQ/hI3tb0N5ysZc90AZA0Hp/Kk22ar3WmjdoOTP1qaQ7ErU5JqgznT7+Jag0X3rpzdod1j0wLRowF5Dm81LVNHCZNlZXddzpQ7vzkXQ/,no_restriction,,firefox-default,2021-07-12T09:46:22.511Z
2865,2866,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12843,deleted,overwrite,2022-07-12T09:46:27.000Z,0,0,0,.casalemedia.com,0,CMID,/,YOvdYnHkJalwYJOn12KolwAA,no_restriction,,firefox-default,2021-07-12T09:46:27.224Z
2866,2867,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12844,added-or-changed,explicit,2022-07-12T09:46:27.000Z,0,0,0,.casalemedia.com,0,CMID,/,YOvdYnHkJalwYJOn12KolwAA,no_restriction,,firefox-default,2021-07-12T09:46:27.225Z
2867,2868,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12848,deleted,overwrite,2022-07-12T09:46:27.000Z,0,0,0,.rubiconproject.com,1,khaos,/,KR085YO1-7-GO04,no_restriction,,firefox-default,2021-07-12T09:46:27.622Z
2868,2869,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12849,added-or-changed,explicit,2022-07-12T09:46:27.000Z,0,0,0,.rubiconproject.com,1,khaos,/,KR085YO1-7-GO04,no_restriction,,firefox-default,2021-07-12T09:46:27.623Z
2869,2870,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12850,deleted,overwrite,2021-07-13T12:59:59.000Z,0,0,0,.rubiconproject.com,1,ses15,/,,no_restriction,,firefox-default,2021-07-12T09:46:27.623Z
2870,2871,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12851,added-or-changed,explicit,2021-07-13T12:59:59.000Z,0,0,0,.rubiconproject.com,1,ses15,/,,no_restriction,,firefox-default,2021-07-12T09:46:27.630Z
2871,2872,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12852,deleted,overwrite,2021-07-13T12:59:59.000Z,0,0,0,.rubiconproject.com,1,vis15,/,365538^4,no_restriction,,firefox-default,2021-07-12T09:46:27.630Z
2872,2873,72313027,2888957472589400,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12853,added-or-changed,explicit,2021-07-13T12:59:59.000Z,0,0,0,.rubiconproject.com,1,vis15,/,365538^4,no_restriction,,firefox-default,2021-07-12T09:46:27.631Z
