index,id,browser_id,visit_id,extension_session_uuid,event_ordinal,record_type,change_cause,expiry,is_http_only,is_host_only,is_session,host,is_secure,name,path,value,same_site,first_party_domain,store_id,time_stamp
87,88,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,252,added-or-changed,explicit,2024-07-08T19:00:39.000Z,0,1,0,www.travelandleisure.com,0,sfdmpConsentLogged,/,true,no_restriction,,firefox-default,2021-07-09T19:00:39.899Z
88,89,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,258,added-or-changed,explicit,2023-07-09T19:00:39.000Z,0,1,0,www.travelandleisure.com,0,muuid_no_hid,/,yes,no_restriction,,firefox-default,2021-07-09T19:00:39.981Z
89,90,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,259,added-or-changed,explicit,2023-07-09T19:00:40.000Z,0,1,0,www.travelandleisure.com,0,muuid_link,/,49a4ef15-76c5-496b-9a2d-40e153cb4210,no_restriction,,firefox-default,2021-07-09T19:00:40.082Z
90,91,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,260,added-or-changed,explicit,2023-07-09T19:00:40.000Z,0,1,0,www.travelandleisure.com,0,muuid_session,/,cd0acf8a-0506-4894-90e0-9346d1d669bf,no_restriction,,firefox-default,2021-07-09T19:00:40.093Z
91,92,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,261,added-or-changed,explicit,2023-07-09T19:00:40.000Z,0,1,0,www.travelandleisure.com,0,muuid_date,/,1625857240097,no_restriction,,firefox-default,2021-07-09T19:00:40.099Z
92,93,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,262,added-or-changed,explicit,2023-07-09T19:00:40.000Z,0,1,0,www.travelandleisure.com,0,first_request_id,/,49a4ef15-76c5-496b-9a2d-40e153cb4210,no_restriction,,firefox-default,2021-07-09T19:00:40.108Z
93,94,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,263,added-or-changed,explicit,2023-07-09T19:00:40.000Z,0,1,0,www.travelandleisure.com,0,muuid_channel,/,direct,no_restriction,,firefox-default,2021-07-09T19:00:40.131Z
94,95,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,264,added-or-changed,explicit,2023-07-09T19:00:40.000Z,0,1,0,www.travelandleisure.com,0,muuid_current_channel,/,direct,no_restriction,,firefox-default,2021-07-09T19:00:40.152Z
95,96,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,265,deleted,overwrite,2023-07-09T19:00:40.000Z,0,1,0,www.travelandleisure.com,0,globalTI_SID,/,85ff70bc-27ad-4c08-9a86-3387cead117e,no_restriction,,firefox-default,2021-07-09T19:00:40.152Z
96,97,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,266,added-or-changed,explicit,2023-07-09T19:00:40.000Z,0,1,0,www.travelandleisure.com,0,globalTI_SID,/,85ff70bc-27ad-4c08-9a86-3387cead117e,no_restriction,,firefox-default,2021-07-09T19:00:40.152Z
